menu_item_id,quantity,event_date,guest_count,event_type,predicted_cost,actual_cost,ingredient_cost,confidence
ITEM-003,20,2026-10-20,20,Wedding,16703.99,14710.24,10157.49,0.74
ITEM-011,64,2026-12-25,91,Wedding,27627.6,30132.52,16800.0,0.69
ITEM-026,5,2026-10-12,12,Birthday,2158.41,2355.73,1312.5,0.71
ITEM-017,35,2026-11-05,43,Corporate,1750.0,1887.69,0.0,0.55
ITEM-025,45,2026-09-11,57,Other,16891.88,16741.97,11812.5,0.39
ITEM-023,72,2026-08-26,80,Birthday,37837.8,40963.51,26460.0,0.35
ITEM-005,7,2026-09-04,17,Corporate,9641166.03,8165908.34,6742074.15,0.85
ITEM-022,44,2026-12-16,47,Other,18993.97,20121.4,11550.0,0.79
ITEM-002,107,2026-10-24,245,Birthday,229345.29,223662.24,146802.13,0.6
ITEM-024,12,2026-01-18,29,Wedding,5180.18,4470.23,3150.0,0.36
ITEM-024,97,2026-11-27,171,Wedding,41873.08,43020.26,25462.5,0.36
ITEM-005,152,2026-06-03,265,Corporate,198883482.2,193903062.59,146399324.4,0.85
ITEM-016,9,2026-01-19,11,Wedding,450.0,462.09,0.0,0.55
ITEM-002,49,2026-12-08,41,Birthday,110555.04,121835.75,67227.14,0.6
ITEM-020,30,2026-12-01,52,Birthday,12950.44,12692.5,7875.0,0.77
ITEM-018,72,2026-07-15,153,Birthday,27027.0,27466.16,18900.0,0.64
ITEM-020,34,2026-02-18,49,Birthday,14677.16,14360.83,8925.0,0.77
ITEM-012,8,2026-08-05,19,Birthday,3003.0,2989.66,2100.0,0.67
ITEM-015,44,2026-11-19,75,Birthday,2200.0,1958.6,0.0,0.7
ITEM-018,13,2026-08-25,30,Birthday,4879.88,5070.26,3412.5,0.64
ITEM-020,11,2026-05-05,15,Wedding,4129.12,4295.64,2887.5,0.77
ITEM-024,10,2026-02-17,16,Corporate,4316.81,4250.67,2625.0,0.36
ITEM-011,32,2026-06-15,53,Wedding,12012.0,11147.02,8400.0,0.69
ITEM-018,30,2026-01-08,62,Wedding,12950.44,12721.51,7875.0,0.64
ITEM-017,62,2026-10-23,105,Corporate,3100.0,3117.11,0.0,0.55
ITEM-034,52,2026-11-15,44,Other,2600.0,2664.74,0.0,0.63
ITEM-017,68,2026-04-15,139,Birthday,3400.0,3802.41,0.0,0.55
ITEM-012,162,2026-09-05,229,Birthday,57770.21,48925.46,42525.0,0.67
ITEM-015,70,2026-06-05,167,Wedding,3500.0,3327.21,0.0,0.7
ITEM-018,12,2026-04-11,11,Corporate,4954.95,5023.91,3150.0,0.64
ITEM-013,68,2026-04-15,148,Wedding,28078.05,29203.23,17850.0,0.68
ITEM-015,19,2026-06-04,28,Birthday,950.0,993.37,0.0,0.7
ITEM-019,145,2026-06-05,240,Other,82732.65,84492.9,60900.0,0.61
ITEM-015,19,2026-02-24,19,Wedding,950.0,953.6,0.0,0.7
ITEM-014,54,2026-04-01,55,Wedding,2700.0,2481.27,0.0,0.75
ITEM-011,18,2026-07-03,25,Other,6756.75,8072.34,4725.0,0.69
ITEM-014,57,2026-11-09,65,Wedding,2850.0,2817.05,0.0,0.75
ITEM-001,48,2026-08-11,103,Wedding,173044.87,194919.6,121010.4,0.62
ITEM-003,45,2026-11-14,76,Wedding,37583.98,36318.2,22854.35,0.74
ITEM-015,129,2026-08-07,259,Other,6450.0,6875.65,0.0,0.7
ITEM-002,110,2026-05-08,130,Birthday,205022.2,174394.31,150918.08,0.6
ITEM-021,17,2026-08-10,17,Corporate,17867.85,18772.37,12495.0,0.75
ITEM-005,22,2026-04-22,44,Birthday,33330888.29,34365065.44,21189375.9,0.85
ITEM-012,75,2026-04-13,76,Wedding,30968.44,29704.89,19687.5,0.67
ITEM-010,23,2026-12-13,46,Birthday,1150.0,1099.16,0.0,0.41
ITEM-021,129,2026-11-05,284,Other,148127.1,154253.82,94815.0,0.75
ITEM-010,7,2026-10-14,12,Other,350.0,391.89,0.0,0.41
ITEM-010,234,2026-08-11,557,Birthday,11700.0,11820.95,0.0,0.41
ITEM-004,86,2026-10-09,130,Corporate,337180353.51,355318633.96,205035180.0,0.28
ITEM-010,25,2026-10-14,27,Corporate,1250.0,1202.97,0.0,0.41
ITEM-001,34,2026-08-15,50,Wedding,122573.45,133302.96,85715.7,0.62
ITEM-011,54,2026-10-09,53,Birthday,23310.79,22135.16,14175.0,0.69
ITEM-034,27,2026-02-27,55,Birthday,1350.0,1417.84,0.0,0.63
ITEM-013,48,2026-04-06,41,Wedding,19819.8,17394.23,12600.0,0.68
ITEM-013,14,2026-04-09,14,Birthday,5780.77,6019.71,3675.0,0.68
ITEM-010,259,2026-07-19,299,Other,12950.0,13011.35,0.0,0.41
ITEM-019,32,2026-08-19,29,Corporate,19219.2,18383.66,13440.0,0.61
ITEM-017,231,2026-01-18,379,Corporate,11550.0,13351.55,0.0,0.55
ITEM-004,41,2026-07-03,58,Wedding,139781541.9,136931997.12,97749330.0,0.28
ITEM-016,102,2026-07-18,231,Birthday,5100.0,5151.02,0.0,0.55
ITEM-003,18,2026-03-01,31,Corporate,14379.96,15817.73,9141.74,0.74
ITEM-018,46,2026-04-20,89,Wedding,18993.97,19895.2,12075.0,0.64
ITEM-018,42,2026-12-18,97,Corporate,18130.61,16315.93,11025.0,0.64
ITEM-022,74,2026-03-23,63,Corporate,30555.53,29315.13,19425.0,0.79
ITEM-005,89,2026-02-21,115,Other,140967620.52,116497020.97,85720657.05,0.85
ITEM-024,24,2026-08-27,55,Corporate,9009.0,9194.57,6300.0,0.36
ITEM-019,204,2026-09-08,405,Birthday,116396.28,90472.46,85680.0,0.61
ITEM-011,37,2026-04-26,62,Wedding,15277.76,15052.89,9712.5,0.69
ITEM-025,70,2026-05-10,124,Wedding,26276.25,27410.49,18375.0,0.39
ITEM-019,31,2026-12-23,30,Wedding,21411.39,16995.14,13020.0,0.61
ITEM-012,15,2026-01-26,22,Corporate,6475.22,5514.41,3937.5,0.67
ITEM-024,15,2026-11-01,14,Birthday,6475.22,6158.44,3937.5,0.36
ITEM-010,10,2026-11-04,20,Wedding,500.0,462.02,0.0,0.41
ITEM-017,272,2026-08-22,280,Birthday,13600.0,13923.96,0.0,0.55
ITEM-021,8,2026-03-20,10,Birthday,9249.24,7999.07,5880.0,0.75
ITEM-034,72,2026-02-21,99,Wedding,3600.0,4076.63,0.0,0.63
ITEM-010,18,2026-10-25,21,Corporate,900.0,945.53,0.0,0.41
ITEM-019,11,2026-08-19,22,Corporate,6606.6,6487.02,4620.0,0.61
ITEM-025,64,2026-08-25,149,Birthday,24024.0,26653.16,16800.0,0.39
ITEM-034,37,2026-10-16,87,Wedding,1850.0,1793.39,0.0,0.63
ITEM-023,6,2026-05-07,10,Other,3153.15,3082.65,2205.0,0.35
ITEM-020,98,2026-04-07,154,Birthday,40465.43,39301.85,25725.0,0.77
ITEM-005,22,2026-11-08,34,Birthday,34845928.67,38564294.84,21189375.9,0.85
ITEM-004,42,2026-06-25,86,Birthday,143190847.8,154762237.67,100133460.0,0.28
ITEM-002,28,2026-07-03,63,Wedding,54934.18,55295.8,38415.51,0.6
ITEM-003,77,2026-11-07,62,Wedding,64310.37,77675.12,39106.34,0.74
ITEM-014,19,2026-09-10,18,Wedding,950.0,1082.07,0.0,0.75
ITEM-019,37,2026-03-13,51,Wedding,24444.42,22480.77,15540.0,0.61
ITEM-019,15,2026-11-26,32,Wedding,10360.35,10132.32,6300.0,0.61
ITEM-010,39,2026-04-22,71,Birthday,1950.0,1850.51,0.0,0.41
ITEM-034,21,2026-09-17,50,Corporate,1050.0,1093.28,0.0,0.63
ITEM-025,86,2026-01-09,204,Other,37124.59,36015.61,22575.0,0.39
ITEM-020,12,2026-02-17,12,Corporate,5180.18,4887.93,3150.0,0.77
ITEM-017,18,2026-09-09,41,Other,900.0,738.31,0.0,0.55
ITEM-011,16,2026-03-25,35,Wedding,6606.6,6874.42,4200.0,0.69
ITEM-013,28,2026-11-02,41,Wedding,12087.08,12941.98,7350.0,0.68
ITEM-034,15,2026-02-06,36,Wedding,750.0,804.45,0.0,0.63
ITEM-003,34,2026-08-08,66,Birthday,24692.86,25846.37,17267.73,0.74
ITEM-021,24,2026-08-01,25,Wedding,25225.2,22866.35,17640.0,0.75
ITEM-023,18,2026-10-04,33,Corporate,10878.37,10732.93,6615.0,0.35
ITEM-013,37,2026-05-07,39,Corporate,13888.88,13920.82,9712.5,0.68
ITEM-019,26,2026-08-13,55,Wedding,15615.6,14513.73,10920.0,0.61
ITEM-004,34,2026-04-04,31,Wedding,127508040.66,123805642.94,81060420.0,0.28
ITEM-012,38,2026-06-01,34,Wedding,14264.25,13594.92,9975.0,0.67
ITEM-003,152,2026-04-12,127,Wedding,115359.22,114149.9,77196.92,0.74
ITEM-021,6,2026-11-26,10,Wedding,7252.24,7645.78,4410.0,0.75
ITEM-003,31,2026-09-07,52,Corporate,22514.08,24016.37,15744.11,0.74
ITEM-017,22,2026-04-22,22,Other,1100.0,1137.91,0.0,0.55
ITEM-005,40,2026-11-20,59,Wedding,63356233.94,63125181.27,38526138.0,0.85
ITEM-014,13,2026-11-08,13,Wedding,650.0,783.33,0.0,0.75
ITEM-023,29,2026-02-20,24,Corporate,17526.26,15862.47,10657.5,0.35
ITEM-014,89,2026-09-14,161,Birthday,4450.0,4624.94,0.0,0.75
ITEM-022,11,2026-09-22,19,Wedding,4129.12,4024.7,2887.5,0.79
ITEM-026,41,2026-01-08,65,Corporate,17698.93,17641.08,10762.5,0.71
ITEM-020,239,2026-11-13,498,Other,98013.23,94125.11,62737.5,0.77
ITEM-011,32,2026-08-09,38,Other,12012.0,11463.29,8400.0,0.69
ITEM-017,226,2026-04-01,395,Wedding,11300.0,11279.57,0.0,0.55
ITEM-001,16,2026-01-13,14,Wedding,66333.87,66533.72,40336.8,0.62
ITEM-002,69,2026-10-23,133,Other,155679.54,162560.88,94666.79,0.6
ITEM-003,39,2026-09-07,71,Wedding,28324.16,30318.85,19807.11,0.74
ITEM-014,45,2026-04-15,98,Wedding,2250.0,2372.66,0.0,0.75
ITEM-022,185,2026-06-26,299,Wedding,65972.16,72158.97,48562.5,0.79
ITEM-012,127,2026-12-23,241,Birthday,52082.34,50164.48,33337.5,0.67
ITEM-021,14,2026-07-21,26,Birthday,14714.7,14091.62,10290.0,0.75
ITEM-020,49,2026-11-03,45,Birthday,21152.38,17772.38,12862.5,0.77
ITEM-024,79,2026-10-24,120,Wedding,34102.82,33800.71,20737.5,0.36
ITEM-014,33,2026-02-17,55,Birthday,1650.0,1858.59,0.0,0.75
ITEM-034,30,2026-02-15,69,Birthday,1500.0,1713.7,0.0,0.63
ITEM-012,11,2026-02-08,24,Wedding,4748.49,4160.14,2887.5,0.67
ITEM-034,49,2026-07-10,58,Other,2450.0,2501.09,0.0,0.63
ITEM-025,18,2026-09-22,41,Birthday,6756.75,6679.97,4725.0,0.39
ITEM-026,141,2026-07-06,269,Wedding,50281.48,53840.31,37012.5,0.71
ITEM-002,130,2026-04-13,156,Wedding,266528.87,299314.3,178357.73,0.6
ITEM-012,6,2026-09-01,10,Birthday,2252.25,2298.05,1575.0,0.67
ITEM-014,16,2026-04-25,29,Wedding,800.0,833.32,0.0,0.75
ITEM-014,87,2026-12-24,156,Other,4350.0,4318.85,0.0,0.75
ITEM-014,21,2026-02-09,35,Other,1050.0,1053.72,0.0,0.75
ITEM-001,29,2026-05-27,38,Birthday,104547.94,95891.75,73110.45,0.62
ITEM-016,16,2026-02-24,31,Wedding,800.0,903.42,0.0,0.55
ITEM-018,34,2026-08-18,38,Corporate,12762.75,12885.87,8925.0,0.64
ITEM-012,39,2026-02-18,72,Other,16835.57,16230.94,10237.5,0.67
ITEM-010,34,2026-09-14,80,Birthday,1700.0,1814.13,0.0,0.41
ITEM-002,141,2026-02-06,189,Other,302221.37,295887.62,193449.53,0.6
ITEM-013,22,2026-04-02,32,Wedding,9084.08,9844.9,5775.0,0.68
ITEM-020,52,2026-09-23,80,Corporate,19519.5,19707.67,13650.0,0.77
ITEM-017,16,2026-09-01,19,Wedding,800.0,899.36,0.0,0.55
ITEM-014,34,2026-08-14,64,Corporate,1700.0,1668.39,0.0,0.75
ITEM-011,72,2026-02-06,169,Corporate,31081.05,30273.36,18900.0,0.69
ITEM-018,8,2026-07-06,16,Corporate,3003.0,3319.82,2100.0,0.64
ITEM-013,35,2026-07-16,66,Other,13138.12,13247.64,9187.5,0.68
ITEM-017,31,2026-04-21,50,Wedding,1550.0,1598.41,0.0,0.55
ITEM-023,13,2026-04-14,17,Corporate,7515.01,6365.45,4777.5,0.35
ITEM-004,45,2026-02-02,56,Birthday,176431580.32,174536449.63,107285850.0,0.28
ITEM-014,29,2026-10-07,49,Corporate,1450.0,1468.62,0.0,0.75
ITEM-012,15,2026-08-04,22,Wedding,5630.62,5422.68,3937.5,0.67
ITEM-015,83,2026-10-15,200,Birthday,4150.0,4166.22,0.0,0.7
ITEM-011,34,2026-10-09,64,Wedding,14677.16,15545.75,8925.0,0.69
ITEM-026,27,2026-01-26,33,Wedding,11655.39,12301.28,7087.5,0.71
ITEM-001,13,2026-01-03,29,Birthday,53896.27,52816.97,32773.65,0.62
ITEM-023,88,2026-11-10,108,Birthday,53183.13,60090.11,32340.0,0.35
ITEM-024,33,2026-07-09,65,Other,12387.38,12951.24,8662.5,0.36
ITEM-011,13,2026-09-07,11,Birthday,4879.88,4602.2,3412.5,0.69
ITEM-002,21,2026-05-08,48,Corporate,41200.63,41877.73,28811.63,0.6
ITEM-024,27,2026-06-06,24,Wedding,10135.12,8888.07,7087.5,0.36
ITEM-005,46,2026-09-23,78,Wedding,63356233.94,71382024.39,44305058.7,0.85
ITEM-019,25,2026-12-08,53,Other,17267.25,16529.72,10500.0,0.61
ITEM-010,10,2026-06-05,20,Corporate,500.0,530.92,0.0,0.41
ITEM-022,13,2026-06-22,12,Corporate,4879.88,4932.01,3412.5,0.79
ITEM-025,17,2026-05-02,40,Birthday,6381.38,5701.77,4462.5,0.39
ITEM-013,21,2026-10-04,47,Wedding,9065.31,9655.06,5512.5,0.68
ITEM-024,40,2026-05-20,46,Other,15015.0,15013.14,10500.0,0.36
ITEM-012,191,2026-08-10,434,Corporate,68111.79,71820.66,50137.5,0.67
ITEM-018,52,2026-05-03,56,Corporate,19519.5,18703.74,13650.0,0.64
ITEM-020,35,2026-10-25,62,Birthday,15108.84,15769.63,9187.5,0.77
ITEM-001,32,2026-06-14,35,Birthday,115363.25,122910.46,80673.6,0.62
ITEM-011,49,2026-02-08,79,Birthday,21152.38,22840.87,12862.5,0.69
ITEM-017,34,2026-12-13,81,Other,1700.0,1772.04,0.0,0.55
ITEM-002,90,2026-11-18,80,Corporate,203060.27,193095.65,123478.43,0.6
ITEM-018,25,2026-12-01,41,Other,10792.03,11169.27,6562.5,0.64
ITEM-022,85,2026-04-04,144,Birthday,35097.56,31259.63,22312.5,0.79
ITEM-024,27,2026-06-15,48,Corporate,10135.12,9286.63,7087.5,0.36
ITEM-026,10,2026-05-26,12,Other,3753.75,3808.81,2625.0,0.71
ITEM-020,10,2026-11-21,22,Wedding,4316.81,4053.57,2625.0,0.77
ITEM-034,59,2026-03-09,108,Other,2950.0,2657.76,0.0,0.63
ITEM-012,41,2026-09-17,78,Other,15390.38,15645.36,10762.5,0.67
ITEM-002,9,2026-10-18,10,Other,20306.03,19645.32,12347.84,0.6
ITEM-023,32,2026-08-27,50,Wedding,16816.8,18581.6,11760.0,0.35
ITEM-019,33,2026-03-05,67,Birthday,21801.78,20487.71,13860.0,0.61
ITEM-005,62,2026-03-24,60,Wedding,93932503.36,103158570.82,59715513.9,0.85
ITEM-022,17,2026-04-11,41,Other,7019.51,7748.87,4462.5,0.79
ITEM-021,23,2026-05-05,44,Corporate,24174.15,23330.85,16905.0,0.75
ITEM-012,53,2026-02-15,60,Wedding,22879.11,25278.96,13912.5,0.67
ITEM-004,55,2026-10-23,47,Other,215638598.18,236764747.65,131127150.0,0.28
ITEM-023,31,2026-02-22,50,Other,18734.97,17135.73,11392.5,0.35
ITEM-018,50,2026-11-10,68,Other,21584.06,23435.99,13125.0,0.64
ITEM-025,27,2026-12-26,49,Other,11655.39,10929.01,7087.5,0.39
ITEM-022,27,2026-01-24,67,Corporate,11655.39,11397.28,7087.5,0.79
ITEM-025,25,2026-02-21,52,Birthday,10792.03,11266.43,6562.5,0.39
ITEM-010,44,2026-07-12,39,Wedding,2200.0,2481.45,0.0,0.41
ITEM-024,45,2026-11-18,52,Birthday,19425.66,18413.42,11812.5,0.36
ITEM-026,15,2026-05-01,24,Wedding,5630.62,4832.15,3937.5,0.71
ITEM-021,73,2026-05-15,78,Birthday,76726.65,77985.13,53655.0,0.75
ITEM-010,64,2026-01-04,61,Birthday,3200.0,2962.76,0.0,0.41
ITEM-012,11,2026-05-14,20,Wedding,4129.12,4485.2,2887.5,0.67
ITEM-011,57,2026-04-22,127,Corporate,23536.01,19368.77,14962.5,0.69
ITEM-014,17,2026-02-21,24,Wedding,850.0,894.08,0.0,0.75
ITEM-021,30,2026-03-05,30,Wedding,34684.65,38075.41,22050.0,0.75
ITEM-004,53,2026-03-26,77,Birthday,198762533.97,204148529.61,126358890.0,0.28
ITEM-010,24,2026-04-17,43,Birthday,1200.0,1160.46,0.0,0.41
ITEM-016,21,2026-10-23,41,Wedding,1050.0,1075.49,0.0,0.55
ITEM-026,75,2026-12-19,123,Wedding,32376.09,33910.79,19687.5,0.71
ITEM-024,77,2026-10-06,89,Corporate,33239.46,35495.3,20212.5,0.36
ITEM-021,13,2026-07-17,19,Wedding,13663.65,13451.96,9555.0,0.75
ITEM-022,61,2026-06-13,66,Birthday,22897.88,24513.95,16012.5,0.79
ITEM-022,25,2026-06-15,55,Wedding,9384.38,9580.82,6562.5,0.79
ITEM-011,44,2026-03-13,87,Birthday,18168.15,18238.9,11550.0,0.69
ITEM-024,37,2026-03-21,33,Other,15277.76,13116.34,9712.5,0.36
ITEM-034,49,2026-10-05,98,Birthday,2450.0,2345.59,0.0,0.63
ITEM-026,14,2026-12-10,17,Wedding,6043.54,6215.19,3675.0,0.71
ITEM-026,27,2026-10-16,38,Birthday,11655.39,11207.63,7087.5,0.71
ITEM-011,58,2026-04-24,50,Birthday,23948.92,20216.94,15225.0,0.69
ITEM-020,61,2026-01-27,84,Other,26332.56,26473.68,16012.5,0.77
ITEM-016,62,2026-10-05,109,Birthday,3100.0,2788.94,0.0,0.55
ITEM-026,121,2026-02-26,208,Corporate,49621.76,58250.94,31762.5,0.71
ITEM-016,70,2026-06-02,113,Wedding,3500.0,3374.45,0.0,0.55
ITEM-018,165,2026-03-07,284,Wedding,64724.03,71958.76,43312.5,0.64
ITEM-012,34,2026-03-19,72,Wedding,14039.02,13242.69,8925.0,0.67
ITEM-004,22,2026-04-22,18,Wedding,82505202.78,76076158.29,52450860.0,0.28
ITEM-016,47,2026-11-09,82,Corporate,2350.0,2693.78,0.0,0.55
ITEM-026,166,2026-03-08,212,Wedding,65116.3,62415.78,43575.0,0.71
ITEM-025,87,2026-09-27,125,Corporate,32657.62,27874.54,22837.5,0.39
ITEM-011,38,2026-04-05,71,Corporate,15690.67,16651.43,9975.0,0.69
ITEM-010,28,2026-02-10,43,Birthday,1400.0,1442.57,0.0,0.41
ITEM-015,13,2026-03-27,16,Other,650.0,632.59,0.0,0.7
ITEM-010,23,2026-05-16,24,Birthday,1150.0,1082.31,0.0,0.41
ITEM-011,38,2026-12-11,63,Other,16403.89,16751.73,9975.0,0.69
ITEM-023,31,2026-02-04,77,Other,18734.97,17443.13,11392.5,0.35
ITEM-005,44,2026-09-03,74,Corporate,60601615.07,56697068.39,42378751.8,0.85
ITEM-011,53,2026-04-06,91,Corporate,21884.36,21352.72,13912.5,0.69
ITEM-017,6,2026-12-12,10,Wedding,300.0,303.22,0.0,0.55
ITEM-034,36,2026-05-24,34,Corporate,1800.0,1923.42,0.0,0.63
ITEM-021,28,2026-02-26,51,Birthday,33843.81,38128.43,20580.0,0.75
ITEM-014,49,2026-11-15,60,Wedding,2450.0,2354.14,0.0,0.75
ITEM-003,42,2026-08-24,38,Wedding,30502.94,29521.8,21330.73,0.74
ITEM-010,50,2026-07-23,46,Wedding,2500.0,2432.8,0.0,0.41
ITEM-017,46,2026-05-03,96,Birthday,2300.0,2363.04,0.0,0.55
ITEM-019,39,2026-07-09,83,Corporate,23423.4,24191.35,16380.0,0.61
ITEM-025,27,2026-11-27,39,Wedding,11655.39,11121.76,7087.5,0.39
ITEM-003,11,2026-03-14,17,Wedding,8787.75,8502.59,5586.62,0.74
ITEM-021,51,2026-12-20,125,Birthday,61644.08,66007.25,37485.0,0.75
ITEM-011,67,2026-12-19,153,Wedding,28922.64,27703.83,17587.5,0.69
ITEM-011,50,2026-04-27,116,Other,20645.62,22215.2,13125.0,0.69
ITEM-011,130,2026-08-23,221,Corporate,46358.81,44288.95,34125.0,0.69
ITEM-013,8,2026-02-21,13,Wedding,3453.45,3549.46,2100.0,0.68
ITEM-001,83,2026-05-09,194,Corporate,299223.42,314861.63,209247.15,0.62
ITEM-017,284,2026-08-12,666,Birthday,14200.0,13758.58,0.0,0.55
ITEM-022,16,2026-06-08,38,Birthday,6006.0,6284.63,4200.0,0.79
ITEM-025,86,2026-07-04,125,Birthday,32282.25,33377.87,22575.0,0.39
ITEM-002,37,2026-11-23,91,Wedding,83480.33,89536.71,50763.35,0.6
ITEM-020,27,2026-01-12,49,Other,11655.39,11482.74,7087.5,0.77
ITEM-015,241,2026-06-17,195,Wedding,12050.0,11372.31,0.0,0.7
ITEM-013,22,2026-07-21,34,Wedding,8258.25,8770.56,5775.0,0.68
ITEM-012,44,2026-09-24,41,Birthday,16516.5,16278.02,11550.0,0.67
ITEM-026,75,2026-07-09,63,Corporate,28153.12,28347.64,19687.5,0.71
ITEM-016,18,2026-12-19,26,Other,900.0,791.01,0.0,0.55
ITEM-023,64,2026-01-13,129,Other,38678.64,35072.42,23520.0,0.35
